fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,sulphates,alcohol,quality
7.8,0.64,0,0.072,55,0.63,11,5
7.9,0.18,0.4,0.049,67,0.93,11.3,5
7.4,0.41,0.24,0.066,47,0.62,10.4,5
7.6,0.43,0.31,0.069,74,0.54,9.9,6
6.1,0.4,0.16,0.069,25,0.74,10.1,7
10.2,0.54,0.37,0.214,95,0.77,9,6
10,0.38,0.38,0.169,90,0.65,8.5,5
6.8,0.915,0.29,0.07,39,0.54,11.1,5
7,0.59,0,0.052,8,0.47,10.3,5
7.3,0.67,0.02,0.072,92,0.68,11.06666667,6
6.9,0.58,0.2,0.058,22,0.49,11.7,5
7.4,0.785,0.19,0.094,98,0.52,9.6,6
6.8,0.67,0,0.08,39,0.74,9.7,5
7.2,0.38,0.31,0.056,29,0.76,11.3,8
7.2,0.37,0.32,0.062,28,0.73,11.3,7
7.8,0.32,0.44,0.104,17,0.78,11,7
6.6,0.58,0.02,0.062,53,0.76,11.6,7
11.7,0.45,0.63,0.073,23,0.69,10.9,6
6.5,0.9,0,0.052,17,0.63,10.9,6
7.6,0.49,0.33,0.074,85,0.58,9,5
8.4,0.29,0.4,0.067,20,0.6,10.5,5
7.9,0.2,0.35,0.054,15,0.8,11.9,7
6.4,0.42,0.09,0.054,64,0.68,10.4,6
6.2,0.785,0,0.06,13,0.61,10,4
6.9,0.63,0.01,0.076,39,0.53,10.8,6
6.8,0.59,0.1,0.063,53,0.67,9.7,5
7.3,0.48,0.32,0.062,54,0.65,10,7
6.7,1.04,0.08,0.067,32,0.57,11,4
7.3,0.48,0.32,0.062,54,0.65,10,7
7.3,0.98,0.05,0.061,49,0.55,9.7,3
10,0.69,0.11,0.084,24,0.47,9.7,5
6.7,0.7,0.08,0.067,16,0.52,12.6,5
7.6,0.35,0.6,0.073,44,0.79,11.1,6
6.1,0.6,0.08,0.071,45,0.54,11,5
9.9,0.5,0.5,0.205,82,0.75,8.8,5
5.3,0.47,0.11,0.048,89,0.88,13.56666667,7
9.9,0.5,0.5,0.205,82,0.75,8.8,5
5.3,0.47,0.11,0.048,89,0.88,13.6,7
7.1,0.875,0.05,0.082,14,0.52,10.2,3
8.2,0.28,0.6,0.104,22,0.68,10.6,5
5.6,0.62,0.03,0.08,13,0.62,10.1,4
8.2,0.28,0.6,0.104,22,0.68,10.6,5
8.1,0.33,0.44,0.042,12,0.61,10.7,5
7,0.655,0.16,0.074,25,0.55,9.7,5
6.8,0.68,0.21,0.07,23,0.6,10.3,5
6,0.64,0.05,0.066,17,0.78,10.6,5
5.6,0.54,0.04,0.049,13,0.58,11.4,5
7.1,0.22,0.49,0.039,18,0.56,12.4,6
6.2,0.65,0.06,0.05,18,0.54,11.95,5
7.7,0.54,0.26,0.089,147,0.59,9.7,5
6.4,0.31,0.09,0.066,28,0.7,10,7
7,0.43,0.02,0.08,28,0.81,10.6,6
6.9,0.74,0.03,0.054,16,0.63,11.5,6
6.9,0.74,0.03,0.054,16,0.63,11.5,6
7.8,0.82,0.29,0.083,64,0.53,9.4,5
6.2,0.44,0.39,0.077,14,0.69,11,6
7.5,0.38,0.57,0.106,12,0.55,11.4,6
6.7,0.76,0.02,0.078,12,0.63,9.95,3
6.8,0.81,0.05,0.07,14,0.66,10.8,6
7.5,0.38,0.57,0.106,12,0.55,11.4,6
7.1,0.27,0.6,0.074,25,0.72,10.6,6
7.9,0.18,0.4,0.062,20,0.7,11.1,5
6.4,0.36,0.21,0.047,48,0.77,9.7,6
7.1,0.69,0.04,0.068,27,0.67,9.8,5
6.9,0.84,0.21,0.074,65,0.72,9.233333333,6
6.9,0.84,0.21,0.074,65,0.72,9.25,6
6.5,0.53,0.06,0.063,44,0.83,10.3,6
7.4,0.47,0.46,0.114,20,0.63,10.5,5
6.6,0.7,0.08,0.106,27,0.58,10.2,5
6.1,0.32,0.25,0.071,58,0.97,10.6,5
6.8,0.48,0.25,0.076,61,0.6,10.4,5
6.7,0.48,0.08,0.064,34,0.64,9.7,5
6.8,0.47,0.08,0.064,38,0.65,9.6,6
7.9,0.29,0.49,0.096,59,0.67,10.1,6
7.1,0.69,0.08,0.063,52,0.6,10.2,6
6.6,0.44,0.09,0.063,18,0.69,11.3,6
6.1,0.705,0.1,0.081,28,0.66,10.2,5
7.2,0.53,0.13,0.058,22,0.68,9.9,6
8,0.39,0.3,0.074,84,0.61,9,5
6.6,0.56,0.14,0.064,29,0.62,11.7,7
7,0.55,0.13,0.075,35,0.59,9.7,6
6.2,0.64,0.09,0.081,26,0.63,12,5
6.2,0.52,0.08,0.071,32,0.63,11.6,6
8.4,0.37,0.43,0.063,19,0.81,11.2,7
6.5,0.63,0.33,0.059,28,0.64,10.1,6
7,0.57,0.02,0.072,26,0.61,10.2,5
11.2,0.4,0.5,0.099,50,0.58,10.4,5
7.4,0.36,0.3,0.074,24,0.7,11.4,8
7.1,0.67,0,0.083,27,0.54,9.4,5
6.3,0.68,0.01,0.103,54,0.66,11.3,6
7.3,0.735,0,0.08,28,0.6,9.4,5
7,0.56,0.17,0.065,24,0.68,10.55,7
6.6,0.88,0.04,0.066,20,0.56,9.9,5
6.6,0.855,0.02,0.062,23,0.6,11,6
6.9,0.63,0.33,0.235,115,0.56,9.5,5
7.8,0.6,0.26,0.08,131,0.52,9.9,5
7.8,0.6,0.26,0.08,131,0.52,9.9,5
7.8,0.6,0.26,0.08,131,0.52,9.9,5
7.2,0.695,0.13,0.076,20,0.54,10.1,5
7.2,0.695,0.13,0.076,20,0.54,10.1,5
6.7,0.67,0.02,0.061,42,0.82,10.9,6
6.7,0.16,0.64,0.059,52,0.71,11.2,6
7.2,0.695,0.13,0.076,20,0.54,10.1,5
7,0.56,0.13,0.077,42,0.59,9.2,5
6.2,0.51,0.14,0.056,34,0.57,11.5,6
6.4,0.36,0.53,0.23,35,0.93,12.4,6
6.4,0.38,0.14,0.038,25,0.65,11.1,6
7.3,0.69,0.32,0.069,104,0.51,9.5,5
6,0.58,0.2,0.075,50,0.67,12.5,6
7.5,0.52,0.4,0.06,20,0.64,11.8,6
8,0.3,0.63,0.081,29,0.78,10.8,6
6.2,0.7,0.15,0.076,27,0.6,11.9,6
6.8,0.67,0.15,0.118,20,0.67,11.3,6
7.4,0.35,0.33,0.068,26,0.6,11.9,6
6.1,0.715,0.1,0.053,27,0.5,11.9,5
6.2,0.46,0.29,0.074,98,0.62,9.8,5
6.7,0.32,0.44,0.061,34,0.8,11.6,7
7.5,0.31,0.41,0.065,60,0.85,11.4,6
5.8,0.61,0.11,0.066,28,0.66,10.9,6
6.3,0.55,0.15,0.077,35,0.82,11.6,6
5.4,0.74,0.09,0.089,26,0.56,11.6,6
6.3,0.51,0.13,0.076,40,0.75,11,6
6.8,0.62,0.08,0.068,38,0.82,9.5,6
6.2,0.6,0.08,0.09,44,0.58,10.5,5
5.9,0.55,0.1,0.062,51,0.76,11.2,6
5.9,0.645,0.12,0.075,44,0.71,10.2,5
